2016-05-04 07:21:00,433 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2016-05-04 07:21:00,444 [     11]   INFO -        #com.intellij.idea.Main - IDE: PyCharm (build #PY-145.844.6, 08 Apr 2016 00:00) 
2016-05-04 07:21:00,444 [     11]   INFO -        #com.intellij.idea.Main - OS: Linux (3.16.0-30-generic, amd64) 
2016-05-04 07:21:00,445 [     12]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_76-release-b32 (JetBrains s.r.o) 
2016-05-04 07:21:00,445 [     12]   INFO -        #com.intellij.idea.Main - JVM: 25.76-b32 (OpenJDK 64-Bit Server VM) 
2016-05-04 07:21:00,446 [     13]   INFO -        #com.intellij.idea.Main - JVM Args: -Xbootclasspath/a:/usr/lib/pycharm-2016.1.2/bin/../lib/boot.jar -Xms128m -Xmx750m -XX:MaxPermSize=350m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -Dawt.useSystemAAFontSettings=lcd -Djb.vmOptionsFile=/usr/lib/pycharm-2016.1.2/bin/pycharm64.vmoptions -XX:ErrorFile=/root/java_error_in_PYCHARM_%p.log -XX:HeapDumpPath=/root/java_error_in_PYCHARM.hprof -Djb.restart.code=88 -Didea.paths.selector=PyCharm2016.1 -Didea.platform.prefix=Python -Didea.no.jre.check=true 
2016-05-04 07:21:00,446 [     13]   INFO -        #com.intellij.idea.Main - ext: /usr/lib/pycharm-2016.1.2/jre/jre/lib/ext: [meta-index, dnsns.jar, sunec.jar, cldrdata.jar, zipfs.jar, sunjce_provider.jar, nashorn.jar, sunpkcs11.jar, jaccess.jar, jfxrt.jar, localedata.jar] 
2016-05-04 07:21:00,446 [     13]   INFO -        #com.intellij.idea.Main - JNU charset: ANSI_X3.4-1968 
2016-05-04 07:21:00,463 [     30]   INFO -        #com.intellij.idea.Main - JNA library loaded (64-bit) in 16 ms 
2016-05-04 07:21:03,204 [   2771]   INFO - .intellij.idea.IdeaApplication - WM detected: null 
2016-05-04 07:21:04,900 [   4467]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-java-support.xml 
2016-05-04 07:21:04,902 [   4469]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-properties-support.xml 
2016-05-04 07:21:04,948 [   4515]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor js-nashorn-support.xml 
2016-05-04 07:21:05,323 [   4890]   INFO - llij.ide.plugins.PluginManager - 49 plugins initialized in 554 ms 
2016-05-04 07:21:05,325 [   4892]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: AngularJS (145.SNAPSHOT), CSS Support (145.SNAPSHOT), CVS Integration (11), CoffeeScript (2.0), Concurrency Visualiser (0.1), Database Tools and SQL (1.0), Django Database Support Integration (1.0), Docker integration (2.1.1), EditorConfig (145.844.6), File Watchers (145.SNAPSHOT), GNU GetText files support (*.po) (136.SNAPSHOT), Gherkin (999.999), Git Integration (8.1), GitHub (145.844.6), HAML (145.SNAPSHOT), HTML Tools (2.0), IDEA CORE (145.SNAPSHOT), IPython Notebook (0.1), Ini4Idea (999.999), IntelliLang (8.0), JavaScript Debugger (1.0), JavaScript Intention Power Pack (0.9.4), JavaScript Support (1.0), LESS support (145.SNAPSHOT), Perforce Integration (2.0), Puppet Support (VERSION), Python BDD support for engines, based on Gherkin (cucumber, lettuce, behave) (0.1), Python IntelliLang (VERSION), Python JavaScript Debugger Integration (VERSION), Python Localization Integration (VERSION), Python Profiler (0.1), Python ReStructureText Integration (1.0), Python Remote Interpreter (VERSION), Python UML Diagrams (VERSION), REST Client (145.SNAPSHOT), ReStructuredText Support (136.SNAPSHOT), Remote Hosts Access (0.1), SASS support (145.SNAPSHOT), SSH Remote Run (0.1), Settings Repository (145.844.6), Stylus support (999.999), Subversion Integration (1.1), Task Management (1.0), Terminal (0.1), TextMate bundles support (VERSION), UML Support (1.0), Vagrant (0.6.VERSION), hg4idea (10.0) 
2016-05-04 07:21:05,326 [   4893]   INFO - llij.ide.plugins.PluginManager - Loaded custom plugins: YAML (145.SNAPSHOT) 
2016-05-04 07:21:05,726 [   5293]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted: '/root/.PyCharm2016.1/system/caches/names.dat' does not exist 
2016-05-04 07:21:05,727 [   5294]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=500; buffer=10; max=705 
2016-05-04 07:21:05,754 [   5321]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: /usr/lib/pycharm-2016.1.2/bin/fsnotifier64 
2016-05-04 07:21:05,787 [   5354]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2016-05-04 07:21:06,164 [   5731]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 6), rebuilding... 
2016-05-04 07:21:06,164 [   5731]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
2016-05-04 07:21:06,541 [   6108]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63342 
2016-05-04 07:21:06,569 [   6136]   INFO - gs.impl.UpdateCheckerComponent - channel: release 
2016-05-04 07:21:07,662 [   7229]   INFO - plication.impl.ApplicationImpl - 78 application components initialized in 2893 ms 
2016-05-04 07:21:07,665 [   7232]   INFO - .intellij.idea.IdeaApplication - App initialization took 8130 ms 
2016-05-04 07:21:08,188 [   7755]   INFO - ellij.project.impl.ProjectImpl - 15 project components initialized in 201 ms 
2016-05-04 07:21:08,188 [   7755]   INFO - le.impl.ModuleManagerComponent - 0 module(s) loaded in 0 ms 
2016-05-04 07:21:08,311 [   7878]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.openapi.actionSystem.impl.ActionPreloader@417f6ecd 
2016-05-04 07:21:08,607 [   8174]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.ide.ui.search.SearchableOptionPreloader@7d011664 
2016-05-04 07:21:34,739 [  34306]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
2016-05-04 07:21:34,740 [  34307]   INFO - Types.impl.FileTypeManagerImpl - FileTypeManager: 0 auto-detected files
Elapsed time on auto-detect: 0 ms 
2016-05-04 07:21:34,891 [  34458]   INFO - il.indexing.FileBasedIndexImpl - START INDEX SHUTDOWN 
2016-05-04 07:21:34,920 [  34487]   INFO - il.indexing.FileBasedIndexImpl - END INDEX SHUTDOWN 
2016-05-04 07:21:34,920 [  34487]   INFO - stubs.SerializationManagerImpl - START StubSerializationManager SHUTDOWN 
2016-05-04 07:21:34,920 [  34487]   INFO - stubs.SerializationManagerImpl - END StubSerializationManager SHUTDOWN 
2016-05-04 07:21:34,923 [  34490]   INFO - pl.local.NativeFileWatcherImpl - Watcher terminated with exit code 0 
2016-05-04 07:21:34,923 [  34490]   INFO - newvfs.persistent.PersistentFS - VFS dispose started 
2016-05-04 07:21:34,927 [  34494]   INFO - newvfs.persistent.PersistentFS - VFS dispose completed 
2016-05-04 07:21:34,931 [  34498]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE SHUTDOWN ------------------------------------------------------ 
2016-05-04 07:21:34,936 [  34503]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
